open_time,open,high,low,close,volume,close_time
2025-10-01T00:00:00Z,114048.94000000,114222.95000000,114048.93000000,114211.40000000,52.59571000,2025-10-01T00:04:59Z
2025-10-01T00:05:00Z,114211.41000000,114308.00000000,114186.42000000,114237.08000000,32.12633000,2025-10-01T00:09:59Z
2025-10-01T00:10:00Z,114237.09000000,114237.09000000,114146.94000000,114156.18000000,33.22493000,2025-10-01T00:14:59Z
2025-10-01T00:15:00Z,114156.17000000,114177.67000000,114105.10000000,114145.43000000,26.09508000,2025-10-01T00:19:59Z
2025-10-01T00:20:00Z,114145.44000000,114177.93000000,113966.92000000,113992.78000000,56.53215000,2025-10-01T00:24:59Z
2025-10-01T00:25:00Z,113992.78000000,114046.74000000,113966.67000000,114021.86000000,37.58035000,2025-10-01T00:29:59Z
2025-10-01T00:30:00Z,114021.85000000,114227.99000000,113983.38000000,114210.01000000,47.55377000,2025-10-01T00:34:59Z
2025-10-01T00:35:00Z,114210.02000000,114231.26000000,114080.92000000,114095.97000000,32.85631000,2025-10-01T00:39:59Z
2025-10-01T00:40:00Z,114095.98000000,114095.98000000,113969.18000000,113969.19000000,18.95768000,2025-10-01T00:44:59Z
2025-10-01T00:45:00Z,113969.19000000,114045.85000000,113969.18000000,114036.47000000,22.40928000,2025-10-01T00:49:59Z
2025-10-01T00:50:00Z,114036.48000000,114225.00000000,114036.47000000,114225.00000000,37.48309000,2025-10-01T00:54:59Z
2025-10-01T00:55:00Z,114225.00000000,114255.00000000,114187.45000000,114239.53000000,37.17548000,2025-10-01T00:59:59Z
2025-10-01T01:00:00Z,114239.53000000,114244.78000000,114142.99000000,114235.75000000,24.82128000,2025-10-01T01:04:59Z
2025-10-01T01:05:00Z,114235.75000000,114328.75000000,114235.75000000,114295.01000000,29.73431000,2025-10-01T01:09:59Z
2025-10-01T01:10:00Z,114295.01000000,114398.97000000,114295.01000000,114348.16000000,94.58716000,2025-10-01T01:14:59Z
2025-10-01T01:15:00Z,114348.16000000,114429.76000000,114230.00000000,114263.97000000,78.41783000,2025-10-01T01:19:59Z
2025-10-01T01:20:00Z,114263.97000000,114301.87000000,114207.47000000,114301.87000000,36.26528000,2025-10-01T01:24:59Z
2025-10-01T01:25:00Z,114301.86000000,114384.32000000,114275.40000000,114367.72000000,33.35708000,2025-10-01T01:29:59Z
2025-10-01T01:30:00Z,114367.72000000,114367.72000000,114223.43000000,114232.63000000,33.17598000,2025-10-01T01:34:59Z
2025-10-01T01:35:00Z,114232.63000000,114395.40000000,114232.63000000,114395.40000000,38.36364000,2025-10-01T01:39:59Z
2025-10-01T01:40:00Z,114395.53000000,114492.22000000,114395.53000000,114413.36000000,89.14656000,2025-10-01T01:44:59Z
2025-10-01T01:45:00Z,114413.36000000,114434.12000000,114387.71000000,114417.48000000,27.29846000,2025-10-01T01:49:59Z
2025-10-01T01:50:00Z,114417.48000000,114500.00000000,114360.27000000,114499.99000000,62.83389000,2025-10-01T01:54:59Z
