Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,MA_50,MA_200
2024-06-18 02:30:00,65304.12,65469.48,65264.54,65380.64,179.59835,2024-06-18 02:34:59.999,11741818.0191427,5901,101.16352,6613844.0569724,65970.8352,66042.14955
2024-06-18 02:35:00,65380.65,65593.97,65353.45,65421.99,270.90583,2024-06-18 02:39:59.999,17736002.7133495,9705,165.86474,10860420.0533648,65948.7946,66040.6491
2024-06-18 02:40:00,65422.0,65430.0,65274.08,65308.11,316.90425,2024-06-18 02:44:59.999,20710020.1508836,8147,107.80291,7042844.2119714,65924.2778,66038.7689
2024-06-18 02:45:00,65308.11,65410.0,65268.22,65367.72,109.1576,2024-06-18 02:49:59.999,7132129.3971224,4161,54.75545,3577600.2151946,65900.3526,66037.0669
2024-06-18 02:50:00,65367.72,65653.68,65360.0,65502.0,299.63983,2024-06-18 02:54:59.999,19636916.2228114,10594,188.35283,12342183.1172599,65878.3704,66035.6563
2024-06-18 02:55:00,65501.99,65521.1,65411.76,65467.43,65.01212,2024-06-18 02:59:59.999,4255328.9464808,3201,29.80262,1950544.2445414,65855.01980000001,66034.48655
2024-06-18 03:00:00,65467.42,65534.33,65390.0,65390.01,95.9169,2024-06-18 03:04:59.999,6278340.9529859,4142,46.95496,3073679.2870536,65830.098,66032.75655
2024-06-18 03:05:00,65390.01,65428.0,65268.0,65318.0,156.14272,2024-06-18 03:09:59.999,10204465.2195661,5479,72.72415,4752490.7398398,65803.338,66031.41644999999
2024-06-18 03:10:00,65317.99,65427.99,65282.0,65363.08,118.2906,2024-06-18 03:14:59.999,7730256.4248979,7029,60.32309,3941846.0823963,65776.5996,66029.8902
2024-06-18 03:15:00,65363.07,65429.99,65310.32,65402.01,125.43929,2024-06-18 03:19:59.999,8202441.0574472,15149,61.80647,4041358.8126705,65751.4582,66028.07519999999
2024-06-18 03:20:00,65402.01,65440.0,65316.0,65360.01,87.20201,2024-06-18 03:24:59.999,5701250.7018437,5195,44.72834,2924482.002,65727.2984,66025.62525
2024-06-18 03:25:00,65360.01,65454.59,65350.27,65454.59,76.31883,2024-06-18 03:29:59.999,4990004.876949,2900,49.41561,3231054.6403069,65706.15019999999,66023.27574999999
2024-06-18 03:30:00,65454.59,65454.59,65400.0,65440.0,55.97644,2024-06-18 03:34:59.999,3662307.4500286,3759,26.16092,1711499.8212871,65683.8562,66020.87475
2024-06-18 03:35:00,65440.0,65496.71,65380.0,65468.01,79.78647,2024-06-18 03:39:59.999,5221350.5301671,4041,46.67025,3054137.3279617,65663.5366,66018.76479999999
2024-06-18 03:40:00,65468.01,65573.05,65449.06,65528.97,84.27794,2024-06-18 03:44:59.999,5521361.7032325,4527,45.94781,3009802.3894297,65644.491,66016.3896
2024-06-18 03:45:00,65528.97,65567.08,65462.01,65508.0,97.36047,2024-06-18 03:49:59.999,6378385.6033129,5497,35.57489,2330600.4001186,65624.6112,66014.08325
2024-06-18 03:50:00,65508.01,65555.46,65465.66,65542.77,122.26521,2024-06-18 03:54:59.999,8009217.4201614,4471,31.64481,2073421.5798061,65605.9176,66011.96715
2024-06-18 03:55:00,65542.77,65575.16,65472.0,65500.0,63.38464,2024-06-18 03:59:59.999,4153596.1286849,4376,23.51686,1540898.7551119,65585.47780000001,66009.8371
2024-06-18 04:00:00,65500.0,65569.26,65419.99,65419.99,140.05801,2024-06-18 04:04:59.999,9171745.4278207,5432,27.97986,1832395.9782733,65563.9896,66007.3322
2024-06-18 04:05:00,65419.99,65475.16,65344.24,65470.0,95.54915,2024-06-18 04:09:59.999,6247645.0495085,7647,38.68005,2529390.605667,65543.30300000001,66004.9164
2024-06-18 04:10:00,65470.0,65582.26,65468.04,65582.25,71.84421,2024-06-18 04:14:59.999,4706948.2921511,5491,30.46507,1996091.0838871,65524.656,66003.47655
2024-06-18 04:15:00,65582.26,65685.01,65544.37,65682.0,163.4555,2024-06-18 04:19:59.999,10724889.8491975,7112,114.31648,7500748.0085679,65509.9338,66002.72645
2024-06-18 04:20:00,65682.0,65764.46,65660.0,65748.85,124.67081,2024-06-18 04:24:59.999,8193833.9005781,5749,85.86582,5643229.4027204,65496.83640000001,66002.11064999999
2024-06-18 04:25:00,65748.85,65769.25,65682.78,65704.0,111.78856,2024-06-18 04:29:59.999,7348278.6664083,3562,50.30195,3306935.286109,65484.1994,66001.5172
2024-06-18 04:30:00,65704.0,65719.74,65615.06,65624.02,85.3311,2024-06-18 04:34:59.999,5603734.8462395,3621,36.92964,2424988.7060062,65470.04,66000.61805
2024-06-18 04:35:00,65624.02,65697.5,65582.05,65697.5,75.25885,2024-06-18 04:39:59.999,4939933.9929464,3509,33.55068,2202334.1089259,65457.1322,66000.01955
2024-06-18 04:40:00,65697.49,65700.0,65670.78,65700.0,37.60325,2024-06-18 04:44:59.999,2470081.8792172,3032,16.72924,1098853.6279616,65443.09199999999,65999.61940000001
2024-06-18 04:45:00,65700.0,65709.47,65576.0,65616.01,65.64135,2024-06-18 04:49:59.999,4309162.367354,3037,31.3389,2057185.9331252,65431.892,65998.94930000001
2024-06-18 04:50:00,65616.01,65714.16,65556.21,65700.01,72.03952,2024-06-18 04:54:59.999,4727776.6721931,3516,24.10345,1581798.6109234,65424.9908,65998.93085
2024-06-18 04:55:00,65700.01,65734.0,65574.2,65574.21,58.81096,2024-06-18 04:59:59.999,3861272.5844288,3124,27.56734,1810093.5727353,65423.84619999999,65997.92645
