open time,open,high,low,close,volume,close time,quote asset volume,number of trades,taker buy base asset volume,taker buy quote asset volume,ma_50,ma_200,body_length,upper_shadow,lower_shadow,full_length
2024-06-18 02:30:00,65304.12,65469.48,65264.54,65380.64,179.59835,2024-06-18 02:34:59.999,11741818.0191427,5901,101.16352,6613844.0569724,65970.8352,66042.14955,76.5199999999968,88.84000000000378,39.580000000001746,204.94000000000233
2024-06-18 02:35:00,65380.65,65593.97,65353.45,65421.99,270.90583,2024-06-18 02:39:59.999,17736002.7133495,9705,165.86474,10860420.0533648,65948.7946,66040.6491,41.33999999999651,171.9800000000032,27.200000000004366,240.52000000000407
2024-06-18 02:40:00,65422.0,65430.0,65274.08,65308.11,316.90425,2024-06-18 02:44:59.999,20710020.1508836,8147,107.80291,7042844.2119714,65924.2778,66038.7689,113.88999999999942,8.0,34.029999999998836,155.91999999999825
2024-06-18 02:45:00,65308.11,65410.0,65268.22,65367.72,109.1576,2024-06-18 02:49:59.999,7132129.3971224,4161,54.75545,3577600.2151946,65900.3526,66037.0669,59.61000000000058,42.279999999998836,39.88999999999942,141.77999999999884
2024-06-18 02:50:00,65367.72,65653.68,65360.0,65502.0,299.63983,2024-06-18 02:54:59.999,19636916.2228114,10594,188.35283,12342183.1172599,65878.3704,66035.6563,134.27999999999884,151.67999999999302,7.720000000001164,293.679999999993
2024-06-18 02:55:00,65501.99,65521.1,65411.76,65467.43,65.01212,2024-06-18 02:59:59.999,4255328.9464808,3201,29.80262,1950544.2445414,65855.01980000001,66034.48655,34.55999999999767,19.110000000000582,55.669999999998254,109.33999999999651
2024-06-18 03:00:00,65467.42,65534.33,65390.0,65390.01,95.9169,2024-06-18 03:04:59.999,6278340.9529859,4142,46.95496,3073679.2870536,65830.098,66032.75655,77.40999999999622,66.91000000000349,0.010000000002037268,144.33000000000175
2024-06-18 03:05:00,65390.01,65428.0,65268.0,65318.0,156.14272,2024-06-18 03:09:59.999,10204465.2195661,5479,72.72415,4752490.7398398,65803.338,66031.41644999999,72.01000000000204,37.98999999999796,50.0,160.0
2024-06-18 03:10:00,65317.99,65427.99,65282.0,65363.08,118.2906,2024-06-18 03:14:59.999,7730256.4248979,7029,60.32309,3941846.0823963,65776.5996,66029.8902,45.09000000000378,64.90999999999622,35.98999999999796,145.98999999999796
2024-06-18 03:15:00,65363.07,65429.99,65310.32,65402.01,125.43929,2024-06-18 03:19:59.999,8202441.0574472,15149,61.80647,4041358.8126705,65751.4582,66028.07519999999,38.94000000000233,27.979999999995925,52.75,119.66999999999825
2024-06-18 03:20:00,65402.01,65440.0,65316.0,65360.01,87.20201,2024-06-18 03:24:59.999,5701250.7018437,5195,44.72834,2924482.002,65727.2984,66025.62525,42.0,37.98999999999796,44.01000000000204,124.0
2024-06-18 03:25:00,65360.01,65454.59,65350.27,65454.59,76.31883,2024-06-18 03:29:59.999,4990004.876949,2900,49.41561,3231054.6403069,65706.15019999999,66023.27574999999,94.57999999999447,0.0,9.740000000005239,104.31999999999971
2024-06-18 03:30:00,65454.59,65454.59,65400.0,65440.0,55.97644,2024-06-18 03:34:59.999,3662307.4500286,3759,26.16092,1711499.8212871,65683.8562,66020.87475,14.589999999996508,0.0,40.0,54.58999999999651
2024-06-18 03:35:00,65440.0,65496.71,65380.0,65468.01,79.78647,2024-06-18 03:39:59.999,5221350.5301671,4041,46.67025,3054137.3279617,65663.5366,66018.76479999999,28.010000000002037,28.69999999999709,60.0,116.70999999999913
2024-06-18 03:40:00,65468.01,65573.05,65449.06,65528.97,84.27794,2024-06-18 03:44:59.999,5521361.7032325,4527,45.94781,3009802.3894297,65644.491,66016.3896,60.95999999999913,44.080000000001746,18.950000000004366,123.99000000000524
2024-06-18 03:45:00,65528.97,65567.08,65462.01,65508.0,97.36047,2024-06-18 03:49:59.999,6378385.6033129,5497,35.57489,2330600.4001186,65624.6112,66014.08325,20.970000000001164,38.11000000000058,45.98999999999796,105.06999999999971
2024-06-18 03:50:00,65508.01,65555.46,65465.66,65542.77,122.26521,2024-06-18 03:54:59.999,8009217.4201614,4471,31.64481,2073421.5798061,65605.9176,66011.96715,34.76000000000204,12.690000000002328,42.349999999998545,89.80000000000291
2024-06-18 03:55:00,65542.77,65575.16,65472.0,65500.0,63.38464,2024-06-18 03:59:59.999,4153596.1286849,4376,23.51686,1540898.7551119,65585.47780000001,66009.8371,42.770000000004075,32.38999999999942,28.0,103.16000000000349
2024-06-18 04:00:00,65500.0,65569.26,65419.99,65419.99,140.05801,2024-06-18 04:04:59.999,9171745.4278207,5432,27.97986,1832395.9782733,65563.9896,66007.3322,80.01000000000204,69.25999999999476,0.0,149.2699999999968
2024-06-18 04:05:00,65419.99,65475.16,65344.24,65470.0,95.54915,2024-06-18 04:09:59.999,6247645.0495085,7647,38.68005,2529390.605667,65543.30300000001,66004.9164,50.01000000000204,5.1600000000034925,75.75,130.92000000000553
