open_time,open,high,low,close,volume,close_time
2025-09-01T00:00:00Z,108246.36000000,108332.35000000,108100.00000000,108100.00000000,85.80121000,2025-09-01T00:04:59Z
2025-09-01T00:05:00Z,108100.00000000,108152.44000000,107983.00000000,107989.04000000,253.21918000,2025-09-01T00:09:59Z
2025-09-01T00:10:00Z,107989.04000000,108058.55000000,107970.65000000,107970.66000000,83.49532000,2025-09-01T00:14:59Z
2025-09-01T00:15:00Z,107970.66000000,108077.06000000,107924.28000000,107949.00000000,57.68997000,2025-09-01T00:19:59Z
2025-09-01T00:20:00Z,107949.00000000,107973.01000000,107725.00000000,107758.35000000,95.35986000,2025-09-01T00:24:59Z
2025-09-01T00:25:00Z,107758.36000000,107868.27000000,107631.68000000,107823.71000000,132.72904000,2025-09-01T00:29:59Z
2025-09-01T00:30:00Z,107823.71000000,107904.67000000,107687.70000000,107776.24000000,54.74741000,2025-09-01T00:34:59Z
2025-09-01T00:35:00Z,107776.24000000,107840.00000000,107676.76000000,107768.91000000,92.72226000,2025-09-01T00:39:59Z
2025-09-01T00:40:00Z,107768.91000000,108218.49000000,107759.29000000,108167.15000000,112.44949000,2025-09-01T00:44:59Z
2025-09-01T00:45:00Z,108167.15000000,108406.18000000,108133.01000000,108168.92000000,49.72973000,2025-09-01T00:49:59Z
2025-09-01T00:50:00Z,108168.93000000,108360.02000000,108084.00000000,108326.86000000,37.34814000,2025-09-01T00:54:59Z
2025-09-01T00:55:00Z,108326.86000000,108386.42000000,108222.37000000,108222.37000000,23.53049000,2025-09-01T00:59:59Z
2025-09-01T01:00:00Z,108222.37000000,108355.00000000,108160.58000000,108269.39000000,42.78559000,2025-09-01T01:04:59Z
2025-09-01T01:05:00Z,108269.39000000,108346.38000000,108034.00000000,108043.11000000,36.03229000,2025-09-01T01:09:59Z
2025-09-01T01:10:00Z,108042.53000000,108148.00000000,107968.09000000,108143.65000000,22.25224000,2025-09-01T01:14:59Z
2025-09-01T01:15:00Z,108143.65000000,108284.00000000,108014.00000000,108194.63000000,38.00811000,2025-09-01T01:19:59Z
2025-09-01T01:20:00Z,108194.64000000,108260.00000000,108138.65000000,108145.17000000,33.76297000,2025-09-01T01:24:59Z
2025-09-01T01:25:00Z,108145.17000000,108286.99000000,108134.25000000,108241.63000000,24.39852000,2025-09-01T01:29:59Z
2025-09-01T01:30:00Z,108241.63000000,108299.30000000,108052.00000000,108114.55000000,59.46078000,2025-09-01T01:34:59Z
2025-09-01T01:35:00Z,108114.55000000,108242.00000000,108053.93000000,108197.07000000,54.51488000,2025-09-01T01:39:59Z
2025-09-01T01:40:00Z,108197.06000000,108299.30000000,108140.00000000,108299.29000000,21.80646000,2025-09-01T01:44:59Z
2025-09-01T01:45:00Z,108299.29000000,108482.98000000,108202.25000000,108213.99000000,54.13116000,2025-09-01T01:49:59Z
2025-09-01T01:50:00Z,108214.00000000,108214.00000000,107980.00000000,108020.97000000,53.42388000,2025-09-01T01:54:59Z
2025-09-01T01:55:00Z,108020.97000000,108192.58000000,108020.96000000,108150.24000000,30.63874000,2025-09-01T01:59:59Z
2025-09-01T02:00:00Z,108150.24000000,108192.58000000,108052.84000000,108107.28000000,45.31252000,2025-09-01T02:04:59Z
2025-09-01T02:05:00Z,108107.28000000,108197.67000000,108092.44000000,108136.70000000,45.06335000,2025-09-01T02:09:59Z
2025-09-01T02:10:00Z,108136.70000000,108136.70000000,107921.18000000,107970.59000000,65.93297000,2025-09-01T02:14:59Z
2025-09-01T02:15:00Z,107970.58000000,107980.00000000,107861.36000000,107887.76000000,60.10698000,2025-09-01T02:19:59Z
2025-09-01T02:20:00Z,107887.77000000,107905.26000000,107755.97000000,107765.30000000,137.96218000,2025-09-01T02:24:59Z
2025-09-01T02:25:00Z,107765.30000000,107768.96000000,107565.99000000,107688.19000000,109.42309000,2025-09-01T02:29:59Z
2025-09-01T02:30:00Z,107688.19000000,107707.33000000,107530.32000000,107570.57000000,68.98857000,2025-09-01T02:34:59Z
2025-09-01T02:35:00Z,107570.57000000,107684.00000000,107525.51000000,107593.17000000,74.58208000,2025-09-01T02:39:59Z
2025-09-01T02:40:00Z,107593.18000000,107613.00000000,107550.00000000,107562.56000000,36.25483000,2025-09-01T02:44:59Z
2025-09-01T02:45:00Z,107562.56000000,107630.79000000,107450.00000000,107460.01000000,90.63493000,2025-09-01T02:49:59Z
2025-09-01T02:50:00Z,107460.01000000,107647.63000000,107425.42000000,107602.26000000,77.05234000,2025-09-01T02:54:59Z
2025-09-01T02:55:00Z,107602.27000000,107732.96000000,107567.37000000,107617.05000000,58.50298000,2025-09-01T02:59:59Z
2025-09-01T03:00:00Z,107617.05000000,107720.00000000,107473.22000000,107686.69000000,83.91489000,2025-09-01T03:04:59Z
2025-09-01T03:05:00Z,107686.69000000,107769.94000000,107638.01000000,107655.01000000,34.65046000,2025-09-01T03:09:59Z
2025-09-01T03:10:00Z,107655.00000000,107658.13000000,107530.32000000,107530.32000000,52.63312000,2025-09-01T03:14:59Z
2025-09-01T03:15:00Z,107530.33000000,107632.79000000,107474.00000000,107522.98000000,102.80606000,2025-09-01T03:19:59Z
2025-09-01T03:20:00Z,107522.99000000,107548.86000000,107447.44000000,107447.45000000,50.00074000,2025-09-01T03:24:59Z
2025-09-01T03:25:00Z,107447.45000000,107512.36000000,107447.44000000,107505.21000000,55.59978000,2025-09-01T03:29:59Z
2025-09-01T03:30:00Z,107505.21000000,107538.73000000,107412.00000000,107425.80000000,52.89772000,2025-09-01T03:34:59Z
2025-09-01T03:35:00Z,107425.81000000,107550.63000000,107393.00000000,107482.91000000,83.34772000,2025-09-01T03:39:59Z
2025-09-01T03:40:00Z,107482.92000000,107556.54000000,107474.17000000,107556.54000000,36.41056000,2025-09-01T03:44:59Z
2025-09-01T03:45:00Z,107556.54000000,107628.16000000,107464.09000000,107483.99000000,84.36826000,2025-09-01T03:49:59Z
2025-09-01T03:50:00Z,107484.00000000,107579.74000000,107437.81000000,107579.74000000,69.77727000,2025-09-01T03:54:59Z
2025-09-01T03:55:00Z,107579.74000000,107722.49000000,107575.31000000,107660.01000000,80.07985000,2025-09-01T03:59:59Z
