Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
2024-06-17 09:55:00,65912.63,65944.0,65645.34,65722.08,430.96331,2024-06-17 09:59:59.999,28334182.1073238,18691,180.55376,11867696.6774523
2024-06-17 10:00:00,65722.07,65843.36,65621.79,65684.15,184.24563,2024-06-17 10:04:59.999,12113564.8220303,11156,90.28837,5936017.8291613
2024-06-17 10:05:00,65684.14,65763.28,65605.0,65708.12,206.14736,2024-06-17 10:09:59.999,13540349.637599,11187,92.65339,6085485.3770655
2024-06-17 10:10:00,65708.12,65802.46,65691.99,65784.12,121.75981,2024-06-17 10:14:59.999,8006508.7110498,5541,67.19773,4418874.2725443
2024-06-17 10:15:00,65784.12,65806.09,65692.0,65701.38,91.64107,2024-06-17 10:19:59.999,6024628.1688084,6851,39.06308,2568348.0008954
2024-06-17 10:20:00,65701.38,65740.0,65644.48,65736.01,84.72908,2024-06-17 10:24:59.999,5566297.6627234,4719,37.89032,2489162.2887565
2024-06-17 10:25:00,65736.01,65736.01,65556.0,65586.02,183.60804,2024-06-17 10:29:59.999,12049595.2175153,7705,70.3621,4617417.670117
2024-06-17 10:30:00,65586.02,65685.46,65586.01,65668.33,95.3014,2024-06-17 10:34:59.999,6256170.5608732,7589,52.83883,3468543.3564684
2024-06-17 10:35:00,65668.33,65778.99,65668.33,65765.01,55.05354,2024-06-17 10:39:59.999,3618808.340431,4625,33.55486,2205586.4882307
2024-06-17 10:40:00,65765.0,65850.0,65750.0,65850.0,52.47176,2024-06-17 10:44:59.999,3453387.1421479,4022,33.70167,2218040.1323649
2024-06-17 10:45:00,65849.99,65946.99,65840.13,65924.49,113.27472,2024-06-17 10:49:59.999,7464732.333369,14787,51.89484,3419784.1581997
2024-06-17 10:50:00,65924.48,65960.01,65891.2,65920.2,93.29365,2024-06-17 10:54:59.999,6151149.7795739,4586,58.3112,3844772.088574
2024-06-17 10:55:00,65920.19,65920.19,65814.77,65890.0,112.45613,2024-06-17 10:59:59.999,7406944.9718391,3793,51.77881,3410422.6024371
2024-06-17 11:00:00,65890.01,66010.44,65866.02,66004.01,197.84121,2024-06-17 11:04:59.999,13051559.9766291,10895,139.51,9203250.7914685
2024-06-17 11:05:00,66004.01,66051.5,65969.26,65969.27,56.67165,2024-06-17 11:09:59.999,3741019.5731711,3415,26.25994,1733391.3045013
2024-06-17 11:10:00,65969.27,65987.99,65945.59,65965.99,32.31716,2024-06-17 11:14:59.999,2131922.0133718,1936,16.63302,1097197.114396
2024-06-17 11:15:00,65965.99,65965.99,65915.08,65926.01,43.00375,2024-06-17 11:19:59.999,2835262.6829018,2387,19.44891,1282233.070771
2024-06-17 11:20:00,65926.0,65926.01,65876.0,65920.97,42.71146,2024-06-17 11:24:59.999,2814454.1484374,2967,24.12525,1589543.3209494
2024-06-17 11:25:00,65920.96,65965.99,65913.01,65953.16,62.79904,2024-06-17 11:29:59.999,4141262.3932384,4198,25.64696,1691116.4559514
2024-06-17 11:30:00,65953.16,65953.16,65850.19,65870.22,31.36037,2024-06-17 11:34:59.999,2066308.3097264,3576,16.06651,1058496.0052339
2024-06-17 11:35:00,65870.21,65870.21,65805.62,65832.02,41.02481,2024-06-17 11:39:59.999,2701047.0337254,2685,17.07095,1123847.6398316
2024-06-17 11:40:00,65832.02,65900.12,65800.03,65872.01,89.09639,2024-06-17 11:44:59.999,5867355.4931391,3412,63.56439,4185691.4138739
2024-06-17 11:45:00,65872.0,65893.55,65822.68,65822.69,35.40791,2024-06-17 11:49:59.999,2332029.5067063,2393,14.41747,949528.0502218
2024-06-17 11:50:00,65822.68,65846.0,65800.0,65803.85,33.85086,2024-06-17 11:54:59.999,2227959.0125172,2899,17.48221,1150620.7740932
2024-06-17 11:55:00,65803.85,65855.72,65796.01,65817.2,44.16105,2024-06-17 11:59:59.999,2906657.7146362,2581,26.89707,1770235.2539502
