open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base,taker_quote,ignore
2025-09-11 09:15:00+00:00,113903.18000000,113978.06000000,113903.17000000,113952.91000000,47.27718000,2025-09-11 09:19:59.999000+00:00,5386847.35268060,8863,20.69688000,2358144.42220850,0
2025-09-11 09:20:00+00:00,113952.91000000,113985.44000000,113941.34000000,113985.43000000,33.20899000,2025-09-11 09:24:59.999000+00:00,3784448.92430920,7606,20.61906000,2349740.77979120,0
2025-09-11 09:25:00+00:00,113985.44000000,114025.78000000,113976.71000000,113976.73000000,27.57732000,2025-09-11 09:29:59.999000+00:00,3144111.20047400,4264,18.26231000,2082037.20180120,0
2025-09-11 09:30:00+00:00,113976.72000000,113976.73000000,113854.12000000,113938.96000000,19.33702000,2025-09-11 09:34:59.999000+00:00,2202514.97002070,10961,8.63498000,983442.67224620,0
2025-09-11 09:35:00+00:00,113938.97000000,113964.82000000,113906.35000000,113906.36000000,20.42011000,2025-09-11 09:39:59.999000+00:00,2326693.78133310,4188,8.19863000,934122.68747130,0
2025-09-11 09:40:00+00:00,113906.35000000,113906.36000000,113851.99000000,113851.99000000,36.33305000,2025-09-11 09:44:59.999000+00:00,4137266.58065280,3065,13.60521000,1549126.66641970,0
2025-09-11 09:45:00+00:00,113852.00000000,113894.26000000,113776.00000000,113884.91000000,35.91945000,2025-09-11 09:49:59.999000+00:00,4089388.82741690,8528,11.98504000,1364224.30221560,0
2025-09-11 09:50:00+00:00,113884.91000000,113898.76000000,113856.68000000,113861.48000000,25.92896000,2025-09-11 09:54:59.999000+00:00,2952672.44692180,5199,10.90107000,1241351.03075030,0
2025-09-11 09:55:00+00:00,113861.48000000,113913.50000000,113861.47000000,113895.29000000,22.48148000,2025-09-11 09:59:59.999000+00:00,2560100.35853450,3564,14.03120000,1597765.07078940,0
2025-09-11 10:00:00+00:00,113895.30000000,113979.01000000,113895.29000000,113979.01000000,18.03192000,2025-09-11 10:04:59.999000+00:00,2054244.05616910,4520,11.88983000,1354552.89952960,0
2025-09-11 10:05:00+00:00,113979.00000000,113979.00000000,113924.49000000,113944.01000000,45.77331000,2025-09-11 10:09:59.999000+00:00,5215803.02329460,5965,25.30941000,2883832.22248980,0
2025-09-11 10:10:00+00:00,113944.01000000,113979.01000000,113932.39000000,113961.99000000,55.74850000,2025-09-11 10:14:59.999000+00:00,6353114.84003530,3762,39.26979000,4475144.92351390,0
2025-09-11 10:15:00+00:00,113962.00000000,114017.10000000,113942.92000000,113979.20000000,40.88024000,2025-09-11 10:19:59.999000+00:00,4658996.57990790,4657,26.80098000,3054493.30512790,0
2025-09-11 10:20:00+00:00,113979.20000000,113998.72000000,113942.14000000,113969.99000000,25.12729000,2025-09-11 10:24:59.999000+00:00,2863471.09280210,4809,14.28691000,1628036.70842300,0
2025-09-11 10:25:00+00:00,113969.99000000,113979.22000000,113891.45000000,113977.46000000,18.63350000,2025-09-11 10:29:59.999000+00:00,2123115.98999240,5468,5.21736000,594414.82280660,0
2025-09-11 10:30:00+00:00,113977.46000000,114068.00000000,113955.40000000,114067.99000000,43.63130000,2025-09-11 10:34:59.999000+00:00,4974688.56429470,4147,28.01401000,3194263.23370730,0
2025-09-11 10:35:00+00:00,114068.00000000,114090.86000000,113998.08000000,114049.49000000,33.26995000,2025-09-11 10:39:59.999000+00:00,3794333.19865960,7768,11.17662000,1274497.31859600,0
2025-09-11 10:40:00+00:00,114049.49000000,114081.21000000,114032.43000000,114045.02000000,20.46613000,2025-09-11 10:44:59.999000+00:00,2334350.53103000,4154,3.46191000,394839.35562990,0
2025-09-11 10:45:00+00:00,114045.03000000,114054.95000000,114034.47000000,114054.94000000,13.63813000,2025-09-11 10:49:59.999000+00:00,1555392.60559100,2687,3.35817000,382986.29995880,0
2025-09-11 10:50:00+00:00,114054.94000000,114119.40000000,114037.95000000,114056.96000000,22.86520000,2025-09-11 10:54:59.999000+00:00,2608441.06420090,5258,8.76136000,999514.81985120,0
2025-09-11 10:55:00+00:00,114056.96000000,114071.42000000,114042.86000000,114062.32000000,35.85881000,2025-09-11 10:59:59.999000+00:00,4089767.47044370,2461,24.23731000,2764298.65418560,0
2025-09-11 11:00:00+00:00,114062.31000000,114062.31000000,114021.33000000,114038.88000000,17.04434000,2025-09-11 11:04:59.999000+00:00,1943702.18325710,4524,3.91781000,446768.72221580,0
2025-09-11 11:05:00+00:00,114038.88000000,114038.89000000,113999.09000000,113999.10000000,25.58193000,2025-09-11 11:09:59.999000+00:00,2916942.83932110,4379,9.12761000,1040781.60453380,0
2025-09-11 11:10:00+00:00,113999.10000000,114112.00000000,113981.95000000,114063.54000000,61.22906000,2025-09-11 11:14:59.999000+00:00,6983217.51346260,6848,32.31902000,3685657.54343940,0
2025-09-11 11:15:00+00:00,114063.55000000,114063.55000000,113981.18000000,113987.55000000,23.84126000,2025-09-11 11:19:59.999000+00:00,2718041.63933460,4513,10.42872000,1188921.43348830,0
2025-09-11 11:20:00+00:00,113987.56000000,113987.56000000,113960.60000000,113960.60000000,16.36363000,2025-09-11 11:24:59.999000+00:00,1864975.63260510,3111,4.16837000,475070.18240690,0
2025-09-11 11:25:00+00:00,113960.60000000,113960.61000000,113923.75000000,113923.75000000,32.00801000,2025-09-11 11:29:59.999000+00:00,3646800.63962420,3820,3.92839000,447572.20160980,0
2025-09-11 11:30:00+00:00,113923.75000000,114000.00000000,113887.98000000,114000.00000000,77.50429000,2025-09-11 11:34:59.999000+00:00,8828478.61387860,6006,40.38377000,4600233.07734220,0
2025-09-11 11:35:00+00:00,114000.00000000,114000.00000000,113955.59000000,113955.59000000,20.26971000,2025-09-11 11:39:59.999000+00:00,2310525.50274260,2805,5.15524000,587661.67839370,0
2025-09-11 11:40:00+00:00,113955.59000000,113994.73000000,113955.59000000,113982.21000000,51.84835000,2025-09-11 11:44:59.999000+00:00,5909831.56573530,3265,21.69547000,2472832.31662770,0
2025-09-11 11:45:00+00:00,113982.22000000,113998.80000000,113951.20000000,113959.71000000,24.20488000,2025-09-11 11:49:59.999000+00:00,2758557.06181470,3892,6.81985000,777215.62216100,0
2025-09-11 11:50:00+00:00,113959.71000000,113985.99000000,113940.50000000,113981.57000000,22.93436000,2025-09-11 11:54:59.999000+00:00,2613734.06524670,4031,6.98095000,795623.77795880,0
2025-09-11 11:55:00+00:00,113981.58000000,114000.00000000,113970.46000000,113999.99000000,28.06228000,2025-09-11 11:59:59.999000+00:00,3198489.81376240,2990,16.37232000,1866096.67171480,0
2025-09-11 12:00:00+00:00,113999.99000000,114171.18000000,113999.99000000,114128.23000000,152.85045000,2025-09-11 12:04:59.999000+00:00,17432518.32934130,13091,121.17725000,13818310.90895480,0
2025-09-11 12:05:00+00:00,114128.23000000,114285.82000000,114128.23000000,114266.01000000,177.06116000,2025-09-11 12:09:59.999000+00:00,20224159.51846360,12934,146.44089000,16726507.44791380,0
2025-09-11 12:10:00+00:00,114266.01000000,114484.36000000,114210.66000000,114261.59000000,177.81788000,2025-09-11 12:14:59.999000+00:00,20327325.95954650,22231,79.15854000,9049760.46985050,0
2025-09-11 12:15:00+00:00,114261.60000000,114261.60000000,114074.75000000,114154.30000000,69.74988000,2025-09-11 12:19:59.999000+00:00,7962780.62271180,14417,26.04539000,2973227.89782820,0
2025-09-11 12:20:00+00:00,114154.30000000,114233.98000000,114095.01000000,114198.20000000,72.53389000,2025-09-11 12:24:59.999000+00:00,8281154.08825540,10879,28.24148000,3224263.72901390,0
2025-09-11 12:25:00+00:00,114198.20000000,114380.61000000,114156.07000000,114380.61000000,77.64333000,2025-09-11 12:29:59.999000+00:00,8871268.42055140,10462,47.10321000,5381992.47200390,0
2025-09-11 12:30:00+00:00,114380.61000000,114500.00000000,113500.00000000,113762.23000000,1171.91839000,2025-09-11 12:34:59.999000+00:00,133455146.24818290,94966,438.55765000,49951424.66714740,0
2025-09-11 12:35:00+00:00,113762.22000000,114045.46000000,113762.22000000,113914.67000000,144.77718000,2025-09-11 12:39:59.999000+00:00,16494284.25135460,40498,76.19650000,8680545.67242110,0
